respondent_id,role,experience,primary_tool,overall_preference,chart_bar_chart,chart_line_chart,chart_scatter_plot,chart_pie_chart,chart_heatmap,aspect_color_palette,aspect_layout,aspect_typography,aspect_readability,aspect_overall_aesthetics,time_saved_min,would_reuse_ai
1,Other,< 1 year,Matplotlib,4,3,2,2,5,4,4,1,2,3,4,6.2,Maybe
2,Developer,1-3 years,ggplot2,4,5,1,5,4,3,3,5,3,2,2,13.2,Maybe
3,Student,3-5 years,D3.js,1,4,2,5,2,3,4,5,3,3,2,10.7,Maybe
4,Data Analyst,< 1 year,ggplot2,3,4,4,4,3,3,5,4,4,3,4,6.3,Yes
5,Developer,3-5 years,Power BI,4,3,3,5,2,5,5,4,2,5,4,16.9,Yes
6,Other,5-10 years,Seaborn,3,3,4,3,4,5,3,3,5,4,2,12.6,Yes
7,Researcher,1-3 years,Power BI,2,4,4,4,4,4,3,4,5,4,2,28.0,Maybe
8,Designer,< 1 year,Plotly,3,4,5,5,3,4,3,5,5,3,4,9.2,No
9,Data Analyst,3-5 years,D3.js,2,5,5,5,4,4,2,3,5,5,3,18.6,Yes
10,Other,5-10 years,D3.js,1,5,5,2,4,4,3,5,4,3,4,28.3,Maybe
11,Data Analyst,3-5 years,ggplot2,5,4,4,4,2,3,3,4,3,3,2,14.1,Maybe
12,Designer,< 1 year,Tableau,2,4,3,2,5,4,4,5,5,3,2,13.8,Yes
13,Developer,5-10 years,ggplot2,5,2,4,4,2,5,5,2,3,4,2,21.6,Maybe
14,Researcher,5-10 years,D3.js,5,4,2,5,5,5,5,5,3,4,3,26.1,Yes
15,Researcher,1-3 years,ggplot2,1,4,5,5,3,4,4,5,4,4,3,18.6,Maybe
16,Researcher,3-5 years,Matplotlib,1,4,5,4,2,4,5,2,2,5,4,20.7,Maybe
17,Student,1-3 years,Tableau,4,4,4,4,4,5,3,4,3,3,4,15.8,Maybe
18,Researcher,< 1 year,ggplot2,4,4,2,4,4,2,3,2,3,3,4,24.6,Yes
19,Designer,> 10 years,D3.js,4,1,5,3,4,5,2,2,2,4,3,7.9,Yes
20,Other,3-5 years,Tableau,4,5,5,2,4,3,1,5,4,3,4,10.2,Yes
21,Developer,> 10 years,Matplotlib,2,5,4,2,1,4,4,4,1,3,5,20.2,Yes
22,Other,1-3 years,Power BI,2,5,5,4,4,3,5,5,5,5,5,17.6,Yes
23,Other,3-5 years,D3.js,5,5,5,5,3,5,2,5,5,3,5,11.4,Maybe
24,Data Analyst,1-3 years,Matplotlib,4,4,3,2,5,4,4,4,5,3,1,19.7,Maybe
25,Designer,1-3 years,Tableau,5,3,2,4,5,3,4,4,3,4,3,17.9,Maybe
26,Student,1-3 years,Plotly,3,5,5,4,4,2,5,4,4,3,4,17.6,Yes
27,Data Analyst,5-10 years,Power BI,5,4,5,4,3,4,1,3,4,4,4,9.6,Yes
28,Developer,1-3 years,Power BI,1,4,4,3,5,5,4,3,3,1,3,19.9,Yes
29,Researcher,5-10 years,ggplot2,5,4,5,4,4,2,4,5,5,5,5,20.8,No
30,Developer,< 1 year,Tableau,2,5,4,5,4,5,4,5,5,4,4,32.2,Yes
31,Student,5-10 years,Seaborn,4,4,3,3,4,5,4,4,3,2,3,17.0,Yes
32,Data Analyst,1-3 years,Seaborn,3,3,3,4,3,4,2,5,3,5,5,25.0,Yes
33,Student,5-10 years,ggplot2,1,4,5,5,5,4,4,4,4,3,3,16.2,Yes
34,Other,5-10 years,Power BI,2,4,2,4,1,4,4,1,4,2,4,18.8,Yes
35,Developer,3-5 years,Seaborn,4,3,5,3,5,4,5,4,4,2,5,18.5,Maybe
36,Researcher,< 1 year,Seaborn,2,1,3,2,4,4,3,4,5,3,4,21.0,Maybe
37,Researcher,1-3 years,Plotly,2,1,3,4,5,4,4,2,4,4,2,20.2,No
38,Researcher,> 10 years,D3.js,1,4,4,2,4,1,4,4,4,3,5,2.6,Yes
39,Data Analyst,5-10 years,Seaborn,4,5,3,5,4,4,4,4,3,5,5,32.1,Yes
40,Developer,> 10 years,Tableau,4,3,4,3,4,4,3,3,4,5,4,26.6,Yes
41,Data Analyst,< 1 year,Seaborn,4,4,5,4,4,4,5,2,3,4,3,10.1,Yes
